,timestamp,value
235610,2025-06-25 19:45:00,37.4
235611,2025-06-20 03:51:00,82.2
235613,2025-06-12 02:08:00,80.3
235614,2025-06-01 15:38:00,65.0
235616,2025-06-15 07:44:00,1.9
235617,2025-06-27 16:06:00,78.6
235618,2025-06-23 21:44:00,42.6
235619,2025-06-21 23:31:00,78.4
235620,2025-06-26 22:19:00,34.7
235621,2025-06-22 02:55:00,33.7
235622,2025-06-23 00:03:00,57.9
235623,2025-06-16 21:12:00,46.9
235624,2025-06-30 20:57:00,5.5
235626,2025-06-22 19:54:00,31.8
235627,2025-06-13 05:20:00,8.1
235628,2025-06-20 22:38:00,43.7
235629,2025-06-13 06:53:00,41.1
235631,2025-06-07 19:04:00,48.1
235632,2025-06-24 22:02:00,40.1
235633,2025-06-29 08:29:00,19.7
235634,2025-06-10 23:40:00,41.7
235635,2025-06-15 08:15:00,90.6
235636,2025-06-14 06:52:00,12.3
235637,2025-06-24 02:37:00,59.3
235638,2025-06-10 11:15:00,38.3
235639,2025-06-19 07:37:00,22.2
235640,2025-06-27 03:08:00,95.1
235641,2025-06-22 05:05:00,35.9
235642,2025-06-09 12:18:00,38.9
235643,2025-06-25 02:03:00,33.8
235644,2025-06-24 08:15:00,14.4
235645,2025-06-07 20:37:00,97.3
235646,2025-06-16 01:27:00,73.0
235648,2025-06-01 10:37:00,0.4
235650,2025-06-24 10:18:00,85.4
235651,2025-06-29 03:13:00,95.8
235652,2025-06-26 10:03:00,16.8
235653,2025-06-28 05:14:00,75.6
235654,2025-06-21 09:49:00,86.2
235656,2025-06-09 23:59:00,76.4
235657,2025-06-14 10:15:00,19.4
235658,2025-06-17 13:59:00,99.7
235659,2025-06-24 09:17:00,45.9
235660,2025-06-24 09:53:00,68.8
235661,2025-06-21 20:06:00,73.1
235662,2025-06-25 22:18:00,93.9
235663,2025-06-18 16:10:00,62.2
235664,2025-06-03 16:39:00,82.6
235665,2025-06-03 14:15:00,7.4
235666,2025-06-04 16:42:00,16.5
235667,2025-06-13 20:52:00,8.8
